"","id","original_title","genres","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi"
"1","862","toystory","[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","1995-10-30",373554033,"30000000",81,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","8844","jumanji","[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]","1995-12-15",262797249,"65000000",104,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","31357","waitingtoexhale","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1995-12-22",81452156,"16000000",127,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"5","11862","fatherofthebridepartii","[{'id': 35, 'name': 'Comedy'}]","1995-02-10",76578911,"0",106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","949","heat","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","1995-12-15",187436818,"60000000",170,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
"9","9091","suddendeath","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]","1995-12-22",64350171,"35000000",106,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"10","710","goldeneye","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","1995-11-16",352194034,"58000000",130,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"11","9087","theamericanpresident","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1995-11-17",107879496,"62000000",106,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"13","21032","balto","[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]","1995-12-22",11348324,"0",78,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","10858","nixon","[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]","1995-12-22",13681765,"44000000",192,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"15","1408","cutthroatisland","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","1995-12-22",10017322,"98000000",119,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"16","524","casino","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","1995-11-22",116112375,"52000000",178,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"17","4584","senseandsensibility","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1995-12-13",1.35e+08,"16500000",136,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"18","5","fourrooms","[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]","1995-12-09",4300000,"4000000",98,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19","9273","aceventurawhennaturecalls","[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]","1995-11-10",212385533,"30000000",90,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"20","11517","moneytrain","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","1995-11-21",35431113,"60000000",103,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"21","8012","getshorty","[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","1995-10-20",115101622,"30250000",105,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"23","9691","assassins","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","1995-10-06",30303072,"50000000",132,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"25","451","leavinglasvegas","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1995-10-27",49800000,"3600000",112,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"27","9263","nowandthen","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","1995-10-20",27400000,"12000000",100,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"29","902","lacit„desenfantsperdus","[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]","1995-05-16",1738611,"18000000",108,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
