"","original_title","id","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi","Actor","Director","actorMovieCount","directorMovieCount","directorEarnings","domestic","quarter","success_1_to_1"
"1","îôïúôïô",117629,2012-05-16,116207,5e+05,84,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"ohadknoller","eytanfox",0,0,0,0,"2",0
"2","10",9051,1979-10-04,74865517,24078133.8007948,122,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"dudleymoore","blakeedwards",1,5,63384022,0,"4",1
"3","10thwolf",13197,2006-02-19,143451,8e+06,107,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,"jamesmarsden","robertmoresco",0,0,0,1,"1",0
"4","12angrymen",389,1957-03-25,1e+06,350000,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"henryfonda","sidneylumet",1,5,127943881,1,"1",1
"5","12o‚Äôclockboys",169853,2013-01-31,44,24078133.8007948,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"coco","lotfynathan",0,0,0,0,"1",0
"6","13hoursthesecretsoldiersofbenghazi",300671,2016-01-13,69411370,5e+07,144,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,"jamesbadgedale","michaelbay",0,0,0,1,"1",1
"7","15",141241,2005-10-21,28,24078133.8007948,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mihaelaradulescu","sergiunicolaescu",0,0,0,0,"4",0
"8","15minutes",2749,2001-03-01,56359980,6e+07,120,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"robertdeniro","johnherzfeld",3,0,0,1,"1",0
"9","17filles",87368,2011-06-13,201607,4141459,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"louisegrinberg","murielcoulin",0,0,0,0,"2",0
"10","1947earth",7504,1998-09-16,528972,24078133.8007948,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"aamirkhan","deepamehta",3,0,0,0,"3",0
"11","1969",47817,1988-08-18,5979011,24078133.8007948,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"robertdowneyjr","ernestthompson",3,0,0,0,"3",0
"12","20000leaguesunderthesea",173,1954-12-23,28200000,5e+06,127,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"kirkdouglas","richardfleischer",1,4,144881426,1,"4",1
"14","200cigarettes",15256,1999-02-26,6852450,6e+06,101,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"benaffleck","risabramongarcia",9,0,0,1,"1",1
"15","21grams",470,2003-09-06,60427839,2e+07,124,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,"seanpenn","alejandrogonz·leziÒ·rritu",1,0,0,1,"3",1
"16","2coelhos",102784,2012-01-20,1620436,2e+06,108,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"fernandoalvespinto","afonsopoyart",0,0,0,0,"1",0
"17","30minutesorless",62206,2011-08-11,40547440,2.8e+07,83,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"jesseeisenberg","rubenfleischer",2,1,105200903,1,"3",1
"18","31",284564,2016-09-15,779820,1500000,102,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"sherimoonzombie","robzombie",0,0,0,1,"3",0
"19","310toyuma",5176,2007-09-06,70016220,5.5e+07,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"russellcrowe","jamesmangold",2,0,0,1,"3",1
"20","360",89455,2012-07-25,1663931,24078133.8007948,110,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"rachelweisz","fernandomeirelles",1,0,0,0,"3",0
