"","X","budget","runtime","comedy","family","adventure","drama","history","horror","documentary","actorMovieCount","directorMovieCount","domestic","newyearsday","presidentsday","christmaseve","newyearsdayobserved","DirectorEarnings","success_1_to_1"
"1",1,5e+05,84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,24078133.8007948,122,1,0,0,0,0,0,0,1,5,0,0,0,0,0,63384022,1
"3",3,8e+06,107,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"4",4,350000,96,0,0,0,1,0,0,0,1,5,1,0,0,0,0,127943881,1
"5",5,24078133.8007948,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6",6,5e+07,144,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
"7",7,24078133.8007948,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,4141459,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,24078133.8007948,101,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
"10",10,24078133.8007948,95,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
"11",11,5e+06,127,0,0,1,1,0,0,0,1,4,1,0,0,0,0,144881426,1
"12",12,6e+06,101,1,0,0,1,0,0,0,9,0,1,0,0,0,0,0,1
"13",13,2e+07,124,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"14",14,2e+06,108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"15",15,2.8e+07,83,1,0,1,0,0,0,0,2,1,1,0,0,0,0,105200903,1
"16",16,1500000,102,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"17",17,5.5e+07,122,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1
"18",18,24078133.8007948,110,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"19",19,2.8e+07,113,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
"20",20,5e+06,87,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"21",21,6e+06,82,1,0,0,0,0,0,0,0,1,1,0,0,0,0,10229331,1
"22",22,4e+07,128,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"23",23,24078133.8007948,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"24",24,1e+07,110,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"25",25,1.7e+07,154,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0
"26",26,24078133.8007948,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"27",27,4.1e+07,110,0,0,0,1,0,0,0,0,1,1,0,0,0,0,83073883,1
"28",28,4e+07,123,0,0,0,0,0,0,0,3,2,1,0,0,0,0,67547213,1
"29",29,24078133.8007948,81,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"30",30,8e+06,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,9500000,139,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1
"32",32,1e+06,66,0,0,0,1,0,0,0,0,2,0,0,0,0,0,19880050,1
"33",33,11500000,162,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"34",34,41677699,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"35",35,18000,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"36",36,120000,130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"37",37,5e+05,97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"38",38,24078133.8007948,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"39",39,1.5e+07,105,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"40",40,24078133.8007948,134,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"41",41,24078133.8007948,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"42",42,24078133.8007948,106,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"43",43,8e+06,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",44,20000,111,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"45",45,24078133.8007948,115,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"46",46,24078133.8007948,116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"47",47,3e+07,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",48,1.5e+07,120,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"49",49,940000,138,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"50",50,24078133.8007948,150,0,0,0,0,0,0,1,0,1,0,0,0,0,0,242688965,0
"51",51,12716953,113,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1
"52",52,2.5e+07,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",53,3860000,130,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"54",54,24078133.8007948,92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"55",55,1400000,103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"56",56,24078133.8007948,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"57",57,3e+05,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"58",58,24078133.8007948,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",59,2.2e+07,146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"60",60,18700000,150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"61",61,1500000,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"62",62,5980000,149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"63",63,24078133.8007948,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"64",64,6e+06,141,0,0,1,1,0,0,0,0,1,0,0,0,0,0,12756,1
"65",65,24078133.8007948,121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"66",66,24078133.8007948,103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"67",67,24078133.8007948,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",68,24078133.8007948,119,0,0,1,1,0,0,0,0,2,0,0,0,0,0,99063759,1
"69",69,24078133.8007948,116,1,0,0,1,0,0,0,1,1,0,0,0,0,0,47,0
"70",70,24078133.8007948,116,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"71",71,1.5e+07,125,0,1,1,0,0,0,0,0,1,0,0,0,0,0,187479518,1
"72",72,7500000,107,0,0,0,1,0,0,0,0,1,0,0,0,1,0,95311434,0
"73",73,1e+07,89,1,0,0,0,0,0,0,9,4,0,0,0,0,0,132336594,0
"74",74,224056,122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"75",75,10400000,161,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"76",76,79000,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"77",77,1050255,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"78",78,5e+05,157,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
"79",79,5900000,161,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"80",80,2200000,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
