"","Year","Date","DayOfWeek","HolidayName","Type"
"3",2000,"Jan 1","Saturday","New Year's Day","Federal Holiday"
"11",2000,"Jan 17","Monday","Martin Luther King Jr. Day","Federal Holiday"
"37",2000,"Feb 21","Monday","Presidents' Day","Federal Holiday"
"130",2000,"May 29","Monday","Memorial Day","Federal Holiday"
"162",2000,"Jul 4","Tuesday","Independence Day","Federal Holiday"
"186",2000,"Sep 4","Monday","Labor Day","Federal Holiday"
"215",2000,"Oct 9","Monday","Columbus Day","Federal Holiday"
"250",2000,"Nov 11","Saturday","Veterans Day","Federal Holiday"
"257",2000,"Nov 23","Thursday","Thanksgiving Day","Federal Holiday"
"287",2000,"Dec 25","Monday","Christmas Day","Federal Holiday"
"310",2001,"Jan 1","Monday","New Year's Day","Federal Holiday"
"910",2001,"Jan 15","Monday","Martin Luther King Jr. Day","Federal Holiday"
"341",2001,"Feb 19","Monday","Presidents' Day","Federal Holiday"
"1341",2001,"May 28","Monday","Memorial Day","Federal Holiday"
"1641",2001,"Jul 4","Wednesday","Independence Day","Federal Holiday"
"1911",2001,"Sep 3","Monday","Labor Day","Federal Holiday"
"2231",2001,"Oct 8","Monday","Columbus Day","Federal Holiday"
"2541",2001,"Nov 11","Sunday","Veterans Day","Federal Holiday"
"2621",2001,"Nov 22","Thursday","Thanksgiving Day","Federal Holiday"
"2931",2001,"Dec 25","Tuesday","Christmas Day","Federal Holiday"
"312",2002,"Jan 1","Tuesday","New Year's Day","Federal Holiday"
"1112",2002,"Jan 21","Monday","Martin Luther King Jr. Day","Federal Holiday"
"372",2002,"Feb 18","Monday","Presidents' Day","Federal Holiday"
"1382",2002,"May 27","Monday","Memorial Day","Federal Holiday"
"1642",2002,"Jul 4","Thursday","Independence Day","Federal Holiday"
"1902",2002,"Sep 2","Monday","Labor Day","Federal Holiday"
"2332",2002,"Oct 14","Monday","Columbus Day","Federal Holiday"
"2582",2002,"Nov 11","Monday","Veterans Day","Federal Holiday"
"2682",2002,"Nov 28","Thursday","Thanksgiving Day","Federal Holiday"
"299",2002,"Dec 25","Wednesday","Christmas Day","Federal Holiday"
"314",2003,"Jan 1","Wednesday","New Year's Day","Federal Holiday"
"1214",2003,"Jan 20","Monday","Martin Luther King Jr. Day","Federal Holiday"
"353",2003,"Feb 17","Monday","Presidents' Day","Federal Holiday"
"1343",2003,"May 26","Monday","Memorial Day","Federal Holiday"
"1683",2003,"Jul 4","Friday","Independence Day","Federal Holiday"
"1953",2003,"Sep 1","Monday","Labor Day","Federal Holiday"
"2353",2003,"Oct 13","Monday","Columbus Day","Federal Holiday"
"2633",2003,"Nov 11","Tuesday","Veterans Day","Federal Holiday"
"2753",2003,"Nov 27","Thursday","Thanksgiving Day","Federal Holiday"
"3041",2003,"Dec 25","Thursday","Christmas Day","Federal Holiday"
"324",2004,"Jan 1","Thursday","New Year's Day","Federal Holiday"
"916",2004,"Jan 19","Monday","Martin Luther King Jr. Day","Federal Holiday"
"364",2004,"Feb 16","Monday","Presidents' Day","Federal Holiday"
"1464",2004,"May 31","Monday","Memorial Day","Federal Holiday"
"1754",2004,"Jul 4","Sunday","Independence Day","Federal Holiday"
"1764",2004,"Jul 5","Monday","Independence Day observed","Federal Holiday"
