"","Year","Date","DayOfWeek","HolidayName","Type","FullDate"
"3",2000,"Jan 1","Saturday","New Year's Day","Federal Holiday",2000-01-01
"11",2000,"Jan 17","Monday","Martin Luther King Jr. Day","Federal Holiday",2000-01-17
"32",2000,"Feb 14","Monday","Valentine's Day","Observance",2000-02-14
"37",2000,"Feb 21","Monday","Presidents' Day","Federal Holiday",2000-02-21
"82",2000,"Apr 21","Friday","Good Friday","State holiday",2000-04-21
"120",2000,"May 14","Sunday","Mother's Day","Observance",2000-05-14
"130",2000,"May 29","Monday","Memorial Day","Federal Holiday",2000-05-29
"152",2000,"Jun 18","Sunday","Father's Day","Observance",2000-06-18
"162",2000,"Jul 4","Tuesday","Independence Day","Federal Holiday",2000-07-04
"186",2000,"Sep 4","Monday","Labor Day","Federal Holiday",2000-09-04
"215",2000,"Oct 9","Monday","Columbus Day","Federal Holiday",2000-10-09
"250",2000,"Nov 11","Saturday","Veterans Day","Federal Holiday",2000-11-11
"257",2000,"Nov 23","Thursday","Thanksgiving Day","Federal Holiday",2000-11-23
"286",2000,"Dec 24","Sunday","Christmas Eve","State holiday",2000-12-24
"287",2000,"Dec 25","Monday","Christmas Day","Federal Holiday",2000-12-25
"310",2001,"Jan 1","Monday","New Year's Day","Federal Holiday",2001-01-01
"910",2001,"Jan 15","Monday","Martin Luther King Jr. Day","Federal Holiday",2001-01-15
"301",2001,"Feb 14","Wednesday","Valentine's Day","Observance",2001-02-14
"341",2001,"Feb 19","Monday","Presidents' Day","Federal Holiday",2001-02-19
"791",2001,"Apr 13","Friday","Good Friday","State holiday",2001-04-13
"1221",2001,"May 13","Sunday","Mother's Day","Observance",2001-05-13
"1341",2001,"May 28","Monday","Memorial Day","Federal Holiday",2001-05-28
"1541",2001,"Jun 17","Sunday","Father's Day","Observance",2001-06-17
"1641",2001,"Jul 4","Wednesday","Independence Day","Federal Holiday",2001-07-04
"1911",2001,"Sep 3","Monday","Labor Day","Federal Holiday",2001-09-03
"2231",2001,"Oct 8","Monday","Columbus Day","Federal Holiday",2001-10-08
"2541",2001,"Nov 11","Sunday","Veterans Day","Federal Holiday",2001-11-11
"2621",2001,"Nov 22","Thursday","Thanksgiving Day","Federal Holiday",2001-11-22
"2911",2001,"Dec 24","Monday","Christmas Eve","State holiday",2001-12-24
"2931",2001,"Dec 25","Tuesday","Christmas Day","Federal Holiday",2001-12-25
"312",2002,"Jan 1","Tuesday","New Year's Day","Federal Holiday",2002-01-01
"1112",2002,"Jan 21","Monday","Martin Luther King Jr. Day","Federal Holiday",2002-01-21
"332",2002,"Feb 14","Thursday","Valentine's Day","Observance",2002-02-14
"372",2002,"Feb 18","Monday","Presidents' Day","Federal Holiday",2002-02-18
"692",2002,"Mar 29","Friday","Good Friday","State holiday",2002-03-29
"1222",2002,"May 12","Sunday","Mother's Day","Observance",2002-05-12
"1382",2002,"May 27","Monday","Memorial Day","Federal Holiday",2002-05-27
"1532",2002,"Jun 16","Sunday","Father's Day","Observance",2002-06-16
"1642",2002,"Jul 4","Thursday","Independence Day","Federal Holiday",2002-07-04
"1902",2002,"Sep 2","Monday","Labor Day","Federal Holiday",2002-09-02
