"","Actor","Director","id"
"1","emilio estevez","stephen hopkins",6
"2","mark hamill","george lucas",11
"3","tom hanks","robert zemeckis",13
"4","kevin spacey","sam mendes",14
"5","orson welles","orson welles",15
"6","björk","lars von trier",16
"7","sean bean","john fawcett",17
"8","sarah polley","isabel coixet",20
"9","michael hynson","bruce brown",21
"10","uma thurman","quentin tarantino",24
"11","kieran o brien","michael winterbottom",27
"12","martin sheen","francis ford coppola",28
"13","tsutomu isobe","kouji morimoto",30
"14","clint eastwood","clint eastwood",33
"15","dan castellaneta","david silverman",35
"16","jim carrey","michel gondry",38
"17","gael garcía bernal","alejandro gonzález iñárritu",55
"18","viggo mortensen","david cronenberg",59
"19","bruce willis","terry gilliam",63
"20","eminem","curtis hanson",65
"21","clint eastwood","clint eastwood",66
"22","jonathan pryce","terry gilliam",68
"23","clint eastwood","clint eastwood",70
"24","jack nicholson","tim burton",75
"25","ethan hawke","richard linklater",76
"26","guy pearce","christopher nolan",77
"27","jet li","zhang yimou",79
"28","blanchard ryan","chris kentis",83
"29","harrison ford","steven spielberg",87
"30","jennifer grey","emile ardolino",88
"31","eddie murphy","martin brest",90
"32","abel jacquin","luis buñuel",91
"33","shankar loutakke","michael glawogger",92
"34","james stewart","otto preminger",93
"35","russell crowe","ridley scott",98
"36","cecilia roth","pedro almodóvar",99
"37","jason flemyng","guy ritchie",100
"38","jean reno","luc besson",101
"39","robert de niro","martin scorsese",103
"40","franka potente","tom tykwer",104
"41","michael j fox","robert zemeckis",105
"42","arnold schwarzenegger","john mctiernan",106
"43","al pacino","brian de palma",111
"44","kim ki duk","kim ki duk",113
"45","jeff bridges","joel coen",115
"46","johnny depp","tim burton",118
"47","elijah wood","peter jackson",120
"48","grazyna szapolowska","krzysztof kieslowski",124
"49","zbigniew zapasiewicz","krzysztof kieslowski",127
"50","rumi hiiragi","hayao miyazaki",129
"51","mick jagger","albert maysles",132
"52","george clooney","joel coen",134
"53","bob dylan","d a pennebaker",135
"54","harry earles","tod browning",136
"55","bill murray","harold ramis",137
"56","anders w berthelsen","søren kragh jacobsen",139
"57","jake gyllenhaal","richard kelly",141
"58","lew ayres","lewis milestone",143
"59","emily watson","lars von trier",145
"60","jean pierre léaud","françois truffaut",147
"61","sarah polley","isabel coixet",148
"62","mitsuo iwata","katsuhiro otomo",149
"63","william shatner","robert wise",152
"64","william shatner","leonard nimoy",157
"65","til schweiger","thomas jahn",158
"66","jeanne joséphine lumière","auguste lumière",160
"67","johnny depp","tim burton",162
"68","audrey hepburn","blake edwards",164
"69","jeff bridges","iain softley",167
"70","william shatner","leonard nimoy",168
"71","kevin peter hall","stephen hopkins",169
"72","claude brasseur","claude pinoteau",171
"73","william shatner","william shatner",172
"74","kirk douglas","richard fleischer",173
"75","jean marc barr","luc besson",175
"76","cary elwes","james wan",176
"77","jeff bridges","terry gilliam",177
"78","jeff bridges","stephen hopkins",178
"79","tom cruise","steven spielberg",180
"80","fred savage","todd holland",183
"81","pam grier","quentin tarantino",184
"82","malcolm mcdowell","stanley kubrick",185
"83","josh hartnett","paul mcguigan",186
"84","jessica alba","robert rodriguez",187
"85","mickey rourke","robert rodriguez",189
"86","patrick stewart","david carson",193
"87","miriam hopkins","ernst lubitsch",195
"88","michael j fox","robert zemeckis",196
"89","carole lombard","ernst lubitsch",198
"90","patrick stewart","jonathan frakes",199
"91","patrick stewart","stuart baird",201
"92","kiefer sutherland","mario andreacchio",206
"93","cary grant","frank capra",212
"94","brigitte mira","rainer werner fassbinder",216
"95","james dean","elia kazan",220
"96","james dean","nicholas ray",221
"97","laurence olivier","alfred hitchcock",223
"98","krystyna janda","andrzej wajda",224
"99","jerzy radziwilowicz","andrzej wajda",225
"100","hilary swank","kimberly peirce",226
"101","matt dillon","francis ford coppola",227
"102","emil jannings","josef von sternberg",228
"103","boris karloff","james whale",229
"104","ken wahl","philip kaufman",233
"105","toni collette","p j hogan",236
"106","al pacino","francis ford coppola",240
"107","al pacino","francis ford coppola",242
"108","glenn ford","frank capra",248
"109","kathleen turner","danny devito",249
"110","roger moore","guy hamilton",253
"111","jean pierre léaud","françois truffaut",255
"112","jean pierre léaud","françois truffaut",256
"113","jean pierre léaud","françois truffaut",258
"114","jean pierre léaud","françois truffaut",259
"115","robert donat","alfred hitchcock",260
"116","elizabeth taylor","richard brooks",261
"117","robert de niro","martin scorsese",262
"118","hanna schygulla","rainer werner fassbinder",265
"119","liberto rabal","pedro almodóvar",267
"120","hanna zetterberg","tage danielsson",271
"121","daniel brühl","hans weingartner",273
"122","daniel brühl","hans weingartner",276
"123","kate beckinsale","len wiseman",277
"124","tim robbins","frank darabont",278
"125","kevin costner","ron shelton",287
"126","humphrey bogart","michael curtiz",289
"127","dave chappelle","michel gondry",292
"128","arnold schwarzenegger","jonathan mostow",296
"129","frank sinatra","lewis milestone",299
"130","gael garcía bernal","michel gondry",300
"131","charlotte rampling","françois ozon",302
"132","sylvie testud","caroline link",312
"133","tura satana","russ meyer",315
"134","mel gibson","wim wenders",318
"135","christian slater","tony scott",319
"136","al pacino","christopher nolan",320
"137","sean penn","clint eastwood",322
"138","sam neill","steven spielberg",329
"139","jeff goldblum","steven spielberg",330
"140","sam neill","joe johnston",331
"141","matthew broderick","david kellogg",332
"142","rahul khanna","deepa mehta",333
"143","julianne moore","paul thomas anderson",334
"144","henry fonda","sergio leone",335
"145","ruth gordon","hal ashby",343
"146","oliver korittke","peter thorwarth",344
"147","toshiro mifune","akira kurosawa",346
"148","tom skerritt","ridley scott",348
"149","michael keaton","tim burton",364
"150","cary grant","alfred hitchcock",381
"151","jürgen prochnow","wolfgang petersen",387
"152","henry fonda","sidney lumet",389
"153","elizabeth taylor","mike nichols",396
"154","meg ryan","lawrence kasdan",397
"155","andy garcía","gary fleder",400
"156","richard farnsworth","david lynch",404
"157","vincent cassel","mathieu kassovitz",406
"158","adriana caselotti","david hand",408
"159","ralph fiennes","anthony minghella",409
"160","val kilmer","joel schumacher",414
"161","adrien brody","roman polanski",423
"162","liam neeson","steven spielberg",424
"163","ray romano","chris wedge",425
"164","james stewart","alfred hitchcock",426
"165","martina gedeck","stefan krohmer",428
"166","eli wallach","sergio leone",429
"167","nicole de boer","vincenzo natali",431
"168","kari matchett","andrzej sekula",437
"169","zachary bennett","ernie barbarash",438
"170","bodil jørgensen","lars von trier",452
"171","russell crowe","ron howard",453
"172","jane fonda","alan j pakula",466
"173","sean penn","alejandro gonzález iñárritu",470
"174","sean gullette","darren aronofsky",473
"175","warren beatty","arthur penn",475
"176","matt dillon","gus van sant",476
"177","naseeruddin shah","mira nair",480
"178","richard roundtree","gordon parks",482
"179","robin williams","gus van sant",489
"180","max von sydow","ingmar bergman",490
"181","7565","agnès varda",499
"182","harvey keitel","quentin tarantino",500
"183","mickey rourke","walter hill",505
"184","jack nicholson","miloš forman",510
"185","nandita das","deepa mehta",513
"186","ray milland","alfred hitchcock",521
"187","johnny depp","tim burton",522
"188","robert de niro","martin scorsese",524
"189","matthew broderick","richard donner",526
"190","peter sallis","nick park",530
"191","peter sallis","nick park",531
"192","peter sallis","nick park",532
"193","jennifer beals","adrian lyne",535
"194","frank sinatra","otto preminger",541
"195","gael garcía bernal","carlos carrera",542
"196","robert redford","robert redford",547
"197","anni kristiina juuso","aleksandr rogozhkin",554
"198","joan bennett","fritz lang",560
"199","bruce willis","john mctiernan",562
"200","james stewart","alfred hitchcock",567
"201","anaïs reboux","catherine breillat",570
"202","jon finch","alfred hitchcock",573
"203","677","oliver hirschbiegel",575
"204","nicole kidman","gus van sant",577
"205","roy scheider","steven spielberg",578
"206","roy scheider","jeannot szwarc",579
"207","kevin costner","kevin costner",581
"208","dustin hoffman","barry levinson",586
"209","nicole kidman","stephen daldry",590
"210","gregory peck","robert mulligan",595
"211","henry fonda","john ford",596
"212","alexandre rodrigues","fernando meirelles",598
"213","henry thomas","steven spielberg",601
"214","keanu reeves","lilly wachowski",605
"215","tommy lee jones","barry sonnenfeld",607
"216","craig t nelson","tobe hooper",609
"217","matt dillon","john mcnaughton",617
"218","bill murray","ivan reitman",620
"219","johnny depp","roman polanski",622
"220","sam waterston","roland joffé",625
"221","ewan mcgregor","danny boyle",627
"222","stephen baldwin","bryan singer",629
"223","judy garland","victor fleming",630
"224","paul newman","george roy hill",642
"225","aleksandr antonov","sergei m eisenstein",643
"226","donald sutherland","robert altman",651
"227","max schreck","f w murnau",653
"228","marlon brando","elia kazan",654
"229","sean connery","terence young",657
"230","sean connery","guy hamilton",658
"231","mario adorf","volker schlöndorff",659
"232","hanna schygulla","rainer werner fassbinder",661
"233","charlton heston","william wyler",665
"234","george lazenby","peter r hunt",668
"235","daniel radcliffe","chris columbus",671
