"","movieName","domestic"
"1","avengers endgame",1
"2","pirates of the caribbean on stranger tides",1
"3","avengers age of ultron",1
"4","star wars ep vii the force awakens",1
"5","avengers infinity war",1
"6","pirates of the caribbean at world’s end",1
"7","justice league",1
"8","spectre",1
"9","star wars the rise of skywalker",1
"10","solo a star wars story",1
"11","john carter",1
"12","batman v superman dawn of justice",1
"13","the lion king",1
"14","tangled",1
"15","spider man 3",1
"16","captain america civil war",1
"17","harry potter and the half blood prince",1
"18","the hobbit the desolation of smaug",1
"19","the hobbit the battle of the five armies",1
"20","the fate of the furious",1
"21","no time to die",1
"22","avatar",1
"23","superman returns",1
"24","the dark knight rises",1
"25","pirates of the caribbean dead men tell no tales",1
"26","quantum of solace",1
"27","the avengers",1
"28","pirates of the caribbean dead man’s chest",1
"29","man of steel",1
"30","the chronicles of narnia prince caspian",1
"31","the lone ranger",1
"32","tenet",1
"33","the amazing spider man",1
"34","battleship",1
"35","transformers the last knight",1
"36","jurassic world",1
"37","men in black 3",1
"38","transformers revenge of the fallen",1
"39","transformers age of extinction",1
"40","x men the last stand",1
"41","robin hood",1
"42","king kong",1
"43","the golden compass",1
"44","black panther",1
"45","titanic",1
"46","star wars ep viii the last jedi",1
"47","incredibles 2",1
"48","rogue one a star wars story",1
"49","finding dory",1
"50","toy story 4",1
"51","toy story 3",1
"52","iron man 3",1
"53","guardians of the galaxy vol 2",1
"54","spider man 2",1
"55","alice in wonderland",1
"56","skyfall",1
"57","the hobbit an unexpected journey",1
"58","monsters university",1
"59","oz the great and powerful",1
"60","x men days of future past",1
"61","the amazing spider man 2",1
"62","cars 2",1
"63","fast furious presents hobbs shaw",1
"64","tron legacy",1
"65","2012",1
"66","fantastic beasts the crimes of grindelwald",1
"67","terminator salvation",1
"68","green lantern",1
"69","prince of persia sands of time",1
"70","dark phoenix",1
"71","transformers dark of the moon",1
"72","the mummy",1
"73","jack the giant slayer",1
"74","furious 7",1
"75","star trek into darkness",1
"76","world war z",1
"77","the great gatsby",1
"78","disney’s a christmas carol",1
"79","pacific rim",1
"80","the good dinosaur",1
"81","iron man",1
"82","the dark knight",1
"83","indiana jones and the kingdom of the crystal skull",1
"84","brave",1
"85","kong skull island",1
"86","star trek beyond",1
"87","maleficent mistress of evil",1
"88","blade runner 2049",1
"89","terminator dark fate",1
"90","aladdin",1
"91","thor ragnarok",1
"92","the chronicles of narnia the lion the witch a…",1
"93","maleficent",1
