"","budget","runtime","comedy","family","adventure","fantasy","drama","action","horror","documentary","scifi","actorMovieCount","directorMovieCount","directorEarnings","domestic","quarter","newyearsday","christmaseve","success_1_to_1"
"1",5e+05,84,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"2",24078133.8007948,122,1,0,0,0,0,0,0,0,0,1,5,63384022,0,4,0,0,1
"3",8e+06,107,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
"4",350000,96,0,0,0,0,1,0,0,0,0,1,5,127943881,1,1,0,0,1
"5",24078133.8007948,76,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"6",5e+07,144,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
"7",24078133.8007948,95,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"9",4141459,87,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"10",24078133.8007948,101,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0
"11",24078133.8007948,95,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0
"12",5e+06,127,0,0,1,0,1,0,0,0,1,1,4,144881426,1,4,0,0,1
"13",6e+06,101,1,0,0,0,1,0,0,0,0,9,0,0,1,1,0,0,1
"14",2e+07,124,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,1
"15",2e+06,108,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"16",2.8e+07,83,1,0,1,0,0,1,0,0,0,2,1,105200903,1,3,0,0,1
"17",1500000,102,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0
"18",5.5e+07,122,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,1
"19",24078133.8007948,110,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0
"20",2.8e+07,113,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1
"21",5e+06,87,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0
"22",6e+06,82,1,0,0,0,0,1,0,0,0,0,1,10229331,1,1,0,0,1
"23",4e+07,128,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,1
"24",24078133.8007948,95,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"27",1e+07,110,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"28",1.7e+07,154,0,0,0,0,1,1,0,0,0,2,0,0,1,2,0,0,0
"29",24078133.8007948,99,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0
"30",4.1e+07,110,0,0,0,0,1,0,0,0,0,0,1,83073883,1,4,0,0,1
"31",4e+07,123,0,0,0,0,0,0,0,0,0,3,2,67547213,1,1,0,0,1
"32",24078133.8007948,81,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0
"33",8e+06,112,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"34",9500000,139,0,0,0,0,1,1,0,0,0,2,0,0,0,3,0,0,1
"35",1e+06,66,0,0,0,0,1,0,0,0,0,0,2,19880050,0,3,0,0,1
"36",11500000,162,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
"37",41677699,100,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
"38",18000,150,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"39",120000,130,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1
"40",5e+05,97,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0
"41",24078133.8007948,114,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"42",1.5e+07,105,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0
"43",24078133.8007948,134,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1
"44",24078133.8007948,133,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"45",24078133.8007948,106,0,0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,0
"46",8e+06,124,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
"47",20000,111,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,1
"48",24078133.8007948,115,0,0,1,1,1,1,0,0,1,0,0,0,0,3,0,0,0
"49",24078133.8007948,116,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0
"50",3e+07,115,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
"51",1.5e+07,120,0,0,1,0,1,1,1,0,1,0,0,0,0,3,0,0,1
"52",940000,138,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1
"53",24078133.8007948,150,0,0,0,0,0,0,0,1,0,0,1,242688965,0,4,0,0,0
"54",12716953,113,1,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,1
"55",2.5e+07,100,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
"56",3860000,130,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
"57",24078133.8007948,92,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"58",1400000,103,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1
"59",24078133.8007948,110,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"60",3e+05,144,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"61",24078133.8007948,104,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
"63",2.2e+07,146,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1
"64",18700000,150,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1
"65",1500000,162,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
"66",5980000,149,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1
"67",24078133.8007948,91,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"68",6e+06,141,0,0,1,0,1,1,0,0,0,0,1,12756,0,3,0,0,1
"69",24078133.8007948,121,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"70",24078133.8007948,103,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0
"71",24078133.8007948,104,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
"72",24078133.8007948,119,0,0,1,0,1,1,0,0,0,0,2,99063759,0,2,0,0,1
"73",24078133.8007948,116,1,0,0,0,1,0,0,0,0,1,1,47,0,2,0,0,0
"74",24078133.8007948,116,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"75",1.5e+07,125,0,1,1,1,0,0,0,0,0,0,1,187479518,0,3,0,0,1
"76",7500000,107,0,0,0,0,1,0,0,0,0,0,1,95311434,0,4,0,1,0
"77",1e+07,89,1,0,0,0,0,1,0,0,0,9,4,132336594,0,1,0,0,0
"78",224056,122,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1
"80",10400000,161,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,1
"81",79000,136,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1
"82",1050255,129,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1
"83",5e+05,157,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0
"84",5900000,161,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
"86",2200000,105,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
"87",24078133.8007948,95,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0
"88",5e+05,157,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0
"91",440141,160,0,0,0,0,1,0,0,0,0,0,1,1458709,0,3,0,0,1
"93",75,129,1,0,0,0,0,1,0,0,0,2,1,3.1e+07,0,3,0,0,1
"94",6700000,143,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1
"95",350000,151,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1
"96",521873,127,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"97",3700000,128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"98",4e+06,160,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
"99",24078133.8007948,133,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"100",560000,102,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"101",24078133.8007948,102,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"102",2.5e+07,99,0,0,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0
"103",24078133.8007948,125,0,0,0,0,0,0,1,0,0,0,1,28281,0,4,0,0,0
"105",24078133.8007948,120,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"106",24078133.8007948,105,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
"107",12500000,100,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
"108",3e+07,125,1,0,0,0,1,0,0,0,0,0,1,17654912,1,4,0,0,1
"109",7500000,99,0,0,1,0,1,1,0,0,0,5,2,525438899,0,2,0,0,1
"110",2.2e+07,121,0,0,0,0,1,0,0,0,0,8,0,0,0,3,0,0,0
"111",1.2e+07,116,0,0,0,0,1,0,0,0,0,2,2,447448367,0,4,0,0,1
"112",24078133.8007948,85,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"113",24078133.8007948,91,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
"114",5e+07,121,0,0,0,0,1,0,0,0,0,4,13,1623280963,1,1,0,0,1
"115",1900000,102,1,0,0,0,1,0,0,0,0,0,4,369322136,0,4,1,0,0
"116",1821052,111,0,0,0,0,1,0,0,0,0,2,2,11500000,0,2,0,0,0
"117",1.5e+07,86,1,0,0,0,0,0,0,0,0,6,1,128769345,1,1,0,0,1
"118",3e+07,90,1,0,1,0,0,0,0,0,0,5,0,0,1,4,0,0,1
"119",24078133.8007948,113,0,0,0,0,1,0,0,0,0,6,0,0,0,4,0,0,0
"120",24078133.8007948,94,1,1,0,0,0,0,0,0,0,0,4,55078470,1,4,0,0,0
"122",2200000,136,0,0,0,0,1,0,0,0,1,1,1,44017374,0,4,0,0,1
"123",24078133.8007948,88,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
"124",3500000,113,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"125",290000,85,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1
"126",24078133.8007948,82,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"127",7e+06,96,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1
"128",4e+07,146,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
"129",1.5e+07,99,0,0,0,0,1,0,0,0,0,1,1,1338365,1,3,0,0,1
"130",24078133.8007948,90,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"131",24078133.8007948,94,1,1,0,1,0,0,0,0,0,0,3,762306606,1,4,0,0,1
"132",24078133.8007948,100,1,0,0,0,0,0,0,0,0,1,1,22707064,0,2,0,0,1
"133",1.3e+07,107,1,0,0,0,1,0,0,0,0,2,1,7087452,1,1,0,0,1
"134",2.2e+07,100,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
"135",24078133.8007948,135,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,1
"136",24078133.8007948,129,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1
"137",4e+07,111,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1
"138",24078133.8007948,105,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0
"139",4531653,100,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1
"140",24078133.8007948,144,0,0,0,0,1,0,0,0,0,0,1,83061158,0,4,0,0,1
"141",24078133.8007948,115,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
"142",24078133.8007948,141,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0
"143",24078133.8007948,153,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"144",24078133.8007948,90,0,1,1,1,0,0,0,0,0,0,1,5e+07,0,3,0,0,1
"145",2e+07,126,0,0,0,1,0,0,0,0,0,2,1,50710400,0,2,0,0,1
"146",24078133.8007948,141,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,1
"148",1200000,96,0,0,0,0,0,0,1,0,0,1,2,48917844,0,1,0,0,1
"149",6e+06,92,0,0,0,0,0,0,1,0,0,0,1,30231200,0,1,0,0,1
"150",24078133.8007948,106,0,0,0,0,1,1,0,0,1,0,1,7.7e+07,0,4,0,0,1
"151",1379375,108,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"152",6e+06,114,0,0,0,0,1,0,0,0,0,2,1,2062066,0,3,0,0,1
"153",24078133.8007948,87,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"154",24078133.8007948,90,0,0,0,0,1,0,0,0,0,0,2,3911581,0,3,0,0,0
"155",24078133.8007948,90,1,0,0,0,0,0,0,0,0,1,3,46354198,0,3,0,0,0
"156",24078133.8007948,89,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0
"157",24078133.8007948,119,1,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0
"158",24078133.8007948,101,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"159",2.8e+07,102,0,0,0,0,0,1,0,0,0,1,1,90565421,1,1,0,0,1
"160",2.6e+07,100,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
"161",1e+06,99,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"162",560000,88,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
"163",3.2e+07,96,0,0,0,0,1,0,0,0,0,0,3,83912762,1,3,0,0,1
"164",3e+07,97,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0
"165",24078133.8007948,112,1,0,1,0,1,1,0,0,0,5,4,411104981,0,3,0,0,1
"166",3e+06,98,1,1,0,0,1,0,0,0,0,1,1,95404397,1,3,0,0,1
"167",24078133.8007948,90,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"168",4500000,126,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
"169",3500000,88,1,0,0,0,0,0,0,0,0,1,3,271721043,1,3,0,0,1
"170",24078133.8007948,85,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
"171",3e+06,107,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,0,1
"172",3500000,159,0,0,0,0,1,0,0,0,0,5,0,0,0,4,0,0,1
"173",24078133.8007948,91,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"174",24078133.8007948,104,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"175",4e+07,128,1,0,0,0,0,0,0,0,0,5,0,0,1,3,0,0,1
"176",2.8e+07,81,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1
"178",24078133.8007948,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"180",1.1e+07,117,0,0,0,0,0,1,1,0,1,0,6,1061882654,1,2,0,0,1
"181",5e+07,114,0,0,0,0,0,1,1,0,1,1,1,369330363,0,2,0,0,1
"184",18500000,137,0,0,0,0,0,1,1,0,1,2,0,0,1,3,0,0,1
"185",24078133.8007948,106,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"186",1.4e+07,95,1,0,1,0,0,1,0,0,0,4,0,0,1,1,0,0,1
"187",24078133.8007948,110,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"189",24078133.8007948,92,1,1,0,0,1,0,0,0,0,0,1,22955097,0,4,0,0,0
"190",24078133.8007948,123,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,1
"191",1.5e+07,99,1,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0
"192",24078133.8007948,91,0,0,0,0,1,0,0,0,0,5,0,0,0,4,0,0,0
"193",1.7e+07,111,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,1
"194",8e+06,112,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"195",3.7e+07,105,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
"196",2e+07,93,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
"197",2e+07,96,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0
"198",1e+06,78,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
"199",24078133.8007948,96,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"200",1e+07,100,1,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,1
"201",2e+07,88,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1
"202",1.5e+07,102,0,0,0,1,1,0,1,0,1,2,2,1339404,0,4,0,0,1
"203",3.1e+07,122,0,0,0,1,1,0,0,0,0,2,8,2662406879,0,4,0,0,1
"204",24078133.8007948,133,1,0,0,0,1,0,0,0,0,0,3,178773452,0,4,0,0,1
"205",24078133.8007948,99,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"206",344,104,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"207",1.5e+07,122,0,0,0,0,1,0,0,0,0,4,1,14899417,1,3,0,0,1
"208",24078133.8007948,88,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0
"209",24078133.8007948,98,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
"210",24078133.8007948,113,0,0,0,0,1,0,0,0,0,10,1,8175346,0,3,0,0,0
"211",777000,110,1,0,0,0,1,0,0,0,0,4,2,1424796335,1,3,0,0,1
"212",24078133.8007948,162,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0
"213",24078133.8007948,96,0,0,0,0,0,0,0,0,0,0,1,760883,0,1,0,0,0
"214",24078133.8007948,97,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
"215",24078133.8007948,102,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"216",2.8e+07,96,1,0,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0
"217",24078133.8007948,90,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0
"218",5.5e+07,103,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
"219",1.6e+07,100,0,0,0,0,1,0,0,0,0,1,1,951179,1,1,1,0,1
"220",6e+06,91,1,0,0,0,0,0,0,0,0,0,1,5542025,1,2,0,0,1
"221",3.6e+07,155,0,0,0,0,1,0,0,0,0,6,3,817011965,1,4,0,0,1
"222",24078133.8007948,105,0,0,0,0,0,0,1,0,0,0,1,1e+08,0,4,0,0,0
"223",2e+06,154,0,0,0,0,1,0,0,0,0,2,1,60427839,1,2,0,0,1
"224",24078133.8007948,96,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"225",4.5e+07,89,0,0,1,0,0,0,1,0,0,2,0,0,1,2,0,0,1
"226",1e+07,86,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0
"227",2e+07,83,1,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0
"228",2723903,113,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1
