"","id","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi","Actor","Director","actorMovieCount","directorMovieCount","directorEarnings","domestic","quarter","success_1_to_1","numOfHolidays","newyearsday","martinlutherkingjrday","valentinesday","presidentsday","goodfriday","mothersday","memorialday","fathersday","independenceday","laborday","columbusday","veteransday","thanksgivingday","christmaseve","christmasday","independencedayobserved","christmasdayobserved","newyearsdayobserved","christmaseveobserved","veteransdayobserved","related_holiday"
"1",117629,"2012-05-16",116207,5e+05,84,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"ohadknoller","eytanfox",0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"2",9051,"1979-10-04",74865517,24078133.8007948,122,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"dudleymoore","blakeedwards",1,5,63384022,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"3",13197,"2006-02-19",143451,8e+06,107,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,"jamesmarsden","robertmoresco",0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"4",389,"1957-03-25",1e+06,350000,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"henryfonda","sidneylumet",1,5,127943881,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"5",169853,"2013-01-31",44,24078133.8007948,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"coco","lotfynathan",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"6",300671,"2016-01-13",69411370,5e+07,144,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,"jamesbadgedale","michaelbay",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"7",141241,"2005-10-21",28,24078133.8007948,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mihaelaradulescu","sergiunicolaescu",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"9",87368,"2011-06-13",201607,4141459,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"louisegrinberg","murielcoulin",0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"10",7504,"1998-09-16",528972,24078133.8007948,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"aamirkhan","deepamehta",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"11",47817,"1988-08-18",5979011,24078133.8007948,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"robertdowneyjr","ernestthompson",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"12",173,"1954-12-23",28200000,5e+06,127,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"kirkdouglas","richardfleischer",1,4,144881426,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"13",15256,"1999-02-26",6852450,6e+06,101,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"benaffleck","risabramongarcia",9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"14",470,"2003-09-06",60427839,2e+07,124,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,"seanpenn","alejandrogonzáleziñárritu",1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"15",102784,"2012-01-20",1620436,2e+06,108,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"fernandoalvespinto","afonsopoyart",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"16",62206,"2011-08-11",40547440,2.8e+07,83,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"jesseeisenberg","rubenfleischer",2,1,105200903,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"17",284564,"2016-09-15",779820,1500000,102,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"sherimoonzombie","robzombie",0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"18",5176,"2007-09-06",70016220,5.5e+07,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"russellcrowe","jamesmangold",2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"None"
"19",89455,"2012-07-25",1663931,24078133.8007948,110,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"rachelweisz","fernandomeirelles",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"20",192102,"2014-02-14",52597999,2.8e+07,113,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"kevincostner","mcg",1,0,0,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"21",300667,"2016-02-11",443962,5e+06,87,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"ellefanning","gabydellal",2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"22",47816,"2000-03-01",9e+06,6e+06,82,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"brianhooks","djpooh",0,1,10229331,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"23",109410,"2013-04-12",95020213,4e+07,128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"chadwickboseman","brianhelgeland",1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"24",311291,"2015-08-28",4250507,24078133.8007948,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"charlotterampling","andrewhaigh",0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"27",197583,"2014-03-21",1064454,1e+07,110,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"skeetulrich","jimwilson",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"28",27759,"1963-05-06",1e+07,1.7e+07,154,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"charltonheston","nicholasray",2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"29",252178,"2014-10-10",1625847,24078133.8007948,99,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,"jackoconnell","yanndemange",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"None"
"30",65,"2002-11-08",2.15e+08,4.1e+07,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"eminem","curtishanson",0,1,83073883,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"None"
"31",8224,"1999-02-26",96618699,4e+07,123,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"nicolascage","joelschumacher",3,2,67547213,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"32",79163,"2006-04-07",2203,24078133.8007948,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"rayromano","tomcaltabiano",2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"33",283235,"2014-10-09",1411927,8e+06,112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"andrewgarfield","raminbahrani",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"34",14097,"2005-09-19",2.4e+07,9500000,139,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,"alekseychadov","fyodorbondarchuk",2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"35",27,"2004-07-16",1574623,1e+06,66,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"kieranobrien","michaelwinterbottom",0,2,19880050,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"36",11645,"1985-06-01",4069653,11500000,162,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"akiraterao","akirakurosawa",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"37",12429,"2008-07-19",187479518,41677699,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yurianara","hayaomiyazaki",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"38",134474,"1991-03-03",7e+05,18000,150,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"nnpillai","lal",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"39",105506,"2012-05-03",130000,120000,130,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"mohanlal","bunnikrishnan",1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
